architecture,strain,cycle_sequence,delta_R_over_R0_percent
CNT/CB single layer,30%,0.7279757901815737,12.714474263088421
CNT/CB single layer,30%,0.7296570275722931,12.538495380554346
CNT/CB single layer,30%,0.7313382649630128,12.362516498020243
CNT/CB single layer,30%,0.7330195023537324,12.142542894852623
CNT/CB single layer,30%,0.7347007397444518,11.966564012318523
CNT/CB single layer,30%,0.7363819771351715,11.790585129784422
CNT/CB single layer,30%,0.738063214525891,11.658600967883864
CNT/CB single layer,30%,0.7397444519166106,11.526616805983283
CNT/CB single layer,30%,0.7414256893073302,11.3946326440827
CNT/CB single layer,30%,0.7431069266980497,11.218653761548623
CNT/CB single layer,30%,0.7447881640887694,11.086669599648042
CNT/CB single layer,30%,0.7464694014794888,10.91069071711394
CNT/CB single layer,30%,0.7481506388702085,10.778706555213384
CNT/CB single layer,30%,0.7498318762609281,10.51473823141222
CNT/CB single layer,30%,0.7515131136516475,10.2947646282446
CNT/CB single layer,30%,0.7531943510423672,10.162780466344042
CNT/CB single layer,30%,0.7548755884330867,10.07479102507698
CNT/CB single layer,30%,0.7565568258238063,10.030796304443461
CNT/CB single layer,30%,0.7582380632145259,9.854817421909372
CNT/CB single layer,30%,0.7599193006052454,9.766827980642322
CNT/CB single layer,30%,0.761600537995965,9.678838539375272
CNT/CB single layer,30%,0.7632817753866845,9.634843818741752
CNT/CB single layer,30%,0.7649630127774042,9.634843818741752
CNT/CB single layer,30%,0.7666442501681238,9.458864936207652
CNT/CB single layer,30%,0.7683254875588432,9.15090189177298
CNT/CB single layer,30%,0.7700067249495629,8.974923009238891
CNT/CB single layer,30%,0.7716879623402824,8.842938847338322
CNT/CB single layer,30%,0.773369199731002,8.754949406071272
