group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,12.90142,274.61526
Fr-PA-10,12.93032,274.38426
Fr-PA-10,12.95688,274.61526
Fr-PA-10,12.98442,274.73075
Fr-PA-10,13.01328,274.05083
Fr-PA-10,13.04048,273.79375
Fr-PA-10,13.06797,274.24269
Fr-PA-10,13.09697,274.33212
Fr-PA-10,13.12344,274.62645
Fr-PA-10,13.15352,274.3973
Fr-PA-10,13.18003,274.51282
Fr-PA-10,13.20718,274.07691
Fr-PA-10,13.23442,274.03779
Fr-PA-10,13.26279,275.30637
Fr-PA-10,13.29009,278.0112
Fr-PA-10,13.32007,278.92213
Fr-PA-10,13.34668,277.53804
Fr-PA-10,13.37383,275.96023
Fr-PA-10,13.40117,275.06235
Fr-PA-10,13.4293,274.44761
Fr-PA-10,13.45659,274.10111
Fr-PA-10,13.48672,273.89622
Fr-PA-10,13.51313,273.30756
Fr-PA-10,13.54053,273.10078
Fr-PA-10,13.56938,273.53668
Fr-PA-10,13.596,273.46032
Fr-PA-10,13.62329,273.70434
Fr-PA-10,13.65283,273.39697
Fr-PA-10,13.67939,273.17901
Fr-PA-10,13.70693,273.35784
Fr-PA-10,13.73574,273.88318
Fr-PA-10,13.76226,275.33245
Fr-PA-10,13.79048,276.90842
Fr-PA-10,13.81938,277.96092
Fr-PA-10,13.84575,278.66507
Fr-PA-10,13.87329,278.73027
Fr-PA-10,13.90317,278.39682
Fr-PA-10,13.92886,277.97396
Fr-PA-10,13.95703,277.61443
Fr-PA-10,13.98623,276.46134
Fr-PA-10,14.0126,274.3582
Fr-PA-10,14.0397,274.24269
Fr-PA-10,14.06904,274.40848
Fr-PA-10,14.09561,273.38393
Fr-PA-10,14.12368,273.42305
Fr-PA-10,14.15283,274.78106
Fr-PA-10,14.17925,274.90959
Fr-PA-10,14.20649,274.24269
Fr-PA-10,14.23564,274.60222
Fr-PA-10,14.26235,274.71771
Fr-PA-10,14.28965,274.44761
Fr-PA-10,14.31953,273.60189
Fr-PA-10,14.34531,273.98562
Fr-PA-10,14.37349,273.84591
Fr-PA-10,14.40244,273.6913
Fr-PA-10,14.42891,273.98562
Fr-PA-10,14.45688,274.17936
Fr-PA-10,14.48599,274.87047
Fr-PA-10,14.51274,276.33278
Fr-PA-10,14.54009,279.4102
Fr-PA-10,14.56899,282.53789
Fr-PA-10,14.59561,284.34484
Fr-PA-10,14.62373,284.65221
Fr-PA-10,14.65273,285.11419
Fr-PA-10,14.67939,285.47373
Fr-PA-10,14.70669,285.48677
Fr-PA-10,14.73579,285.4346
Fr-PA-10,14.76226,285.29303
Fr-PA-10,14.79058,285.3843
Fr-PA-10,14.81953,285.37126
Fr-PA-10,14.84507,285.42156
Fr-PA-10,14.87349,285.55009
Fr-PA-10,14.90269,285.67863
Fr-PA-10,14.9291,285.71775
Fr-PA-10,14.95649,285.8202
Fr-PA-10,14.98638,285.80718
Fr-PA-10,15.01187,285.8202
Fr-PA-10,15.03994,285.85746
Fr-PA-10,15.06919,285.94689
Fr-PA-10,15.0957,285.93571
Fr-PA-10,15.12305,285.99904
Fr-PA-10,15.15298,285.90963
Fr-PA-10,15.17866,285.98599
Fr-PA-10,15.20679,285.85746
Fr-PA-10,15.23564,285.70471
Fr-PA-10,15.2623,285.62648
Fr-PA-10,15.28965,285.3843
Fr-PA-10,15.31968,285.25577
Fr-PA-10,15.34546,285.11419
Fr-PA-10,15.37349,284.93536
Fr-PA-10,15.40244,284.80682
Fr-PA-10,15.42896,284.65221
Fr-PA-10,15.4563,284.48641
Fr-PA-10,15.48623,284.3076
Fr-PA-10,15.5127,284.166
Fr-PA-10,15.54009,284.05051
Fr-PA-10,15.56904,283.84562
Fr-PA-10,15.59565,283.74314
Fr-PA-10,15.62397,283.60157
Fr-PA-10,15.65264,283.56245
Fr-PA-10,15.67925,283.5252
Fr-PA-10,15.70684,283.49912
Fr-PA-10,15.73574,283.56245
Fr-PA-10,15.76221,283.5252
Fr-PA-10,15.79038,283.57549
Fr-PA-10,15.81924,283.55129
Fr-PA-10,15.8457,283.58853
Fr-PA-10,15.87573,283.62765
Fr-PA-10,15.9022,283.691
Fr-PA-10,15.92944,283.78041
Fr-PA-10,15.95669,283.78041
Fr-PA-10,15.98579,283.83257
Fr-PA-10,16.01211,283.87167
Fr-PA-10,16.0417,283.93502
Fr-PA-10,16.06846,284.11386
Fr-PA-10,16.09585,284.1269
Fr-PA-10,16.12314,284.25543
Fr-PA-10,16.15234,284.39701
Fr-PA-10,16.17871,284.48641
Fr-PA-10,16.2085,284.63917
Fr-PA-10,16.23501,284.83291
Fr-PA-10,16.26245,284.92231
Fr-PA-10,16.28975,285.01174
Fr-PA-10,16.31885,285.11419
Fr-PA-10,16.34541,285.12723
Fr-PA-10,16.37524,285.19058
Fr-PA-10,16.40176,285.14028
Fr-PA-10,16.4291,285.21664
Fr-PA-10,16.45879,285.22968
Fr-PA-10,16.48535,285.21664
Fr-PA-10,16.51284,285.21664
Fr-PA-10,16.54189,285.21664
Fr-PA-10,16.56831,285.12723
Fr-PA-10,16.59565,285.08811
Fr-PA-10,16.62544,284.97262
Fr-PA-10,16.65191,284.80682
Fr-PA-10,16.6793,284.58889
Fr-PA-10,16.7083,284.43427
Fr-PA-10,16.73481,284.29456
Fr-PA-10,16.76206,284.1269
Fr-PA-10,16.79199,283.94806
Fr-PA-10,16.81841,283.66492
Fr-PA-10,16.84541,283.40969
Fr-PA-10,16.87461,283.24206
Fr-PA-10,16.90127,282.98683
Fr-PA-10,16.92935,282.80613
Fr-PA-10,16.95835,282.67946
Fr-PA-10,16.98486,282.51181
